State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Workers,Male_Workers,Female_Workers,Agricultural_Workers,Households_with_Internet,Housholds_with_Electric_Lighting,Rural_Households,Urban_Households,sex_ratio,literact_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,1323667,748939,574728,484912,5512,566108,597466,220248,100.0,54.112282803506005
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,2036166,1208544,827622,879537,8606,897970,902997,341431,98.0,56.62524368143473
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,1933357,1202223,731134,748093,13763,944555,907970,395900,100.0,63.915598802509976
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,2093681,1545831,547850,1122046,22411,1297273,1199479,406362,101.0,63.80264152466215
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,2381624,1442370,939254,1227956,19383,1186028,1069877,513113,100.0,60.56780404651324
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,1413297,1045585,367712,23029,149034,869721,0,1066289,95.0,73.34309160066269
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,1876768,1049463,827305,756859,8831,926768,877236,288044,101.0,58.43940143035361
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,1410062,802906,607156,804537,8628,668519,669262,201363,101.0,58.27738196949277
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,2048880,1327299,721581,1006976,30438,1163932,909292,567042,99.0,66.62503503122815
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,2029425,1164122,865303,1037302,10081,816721,783853,306982,99.0,52.47762222080231
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1940646,2082501,1140067,942434,931084,6153,757821,848963,161052,98.0,47.881386459703705
